geo_id,respondent_id,primary
1,1,1
1,2,1
1,3,1
2,4,1
2,5,1
2,6,1
3,7,1
3,8,1
3,9,1
4,10,1
4,11,1
4,12,1
5,13,1
5,14,1
5,15,1
6,16,1
6,17,1
6,18,1
7,19,1
7,20,1
7,21,1
8,22,1
8,23,1
8,24,1
9,25,1
9,26,1
9,27,1
10,28,1
10,29,1
10,30,1
11,31,1
11,32,1
11,33,1
12,34,1
12,35,1
12,36,1
13,37,1
13,38,1
13,39,1
14,40,1
14,41,1
14,42,1
15,43,1
15,44,1
15,45,1
16,46,1
16,47,1
16,48,1
17,49,1
17,50,1
17,51,1
18,52,1
18,53,1
18,54,1
19,55,1
19,56,1
19,57,1
20,58,1
20,59,1
20,60,1
21,61,1
21,62,1
21,63,1
22,64,1
22,65,1
22,66,1
23,67,1
23,68,1
23,69,1
24,70,1
24,71,1
24,72,1
25,73,1
25,74,1
25,75,1
26,76,1
26,77,1
26,78,1
27,79,1
27,80,1
27,81,1
28,82,1
28,83,1
28,84,1
29,85,1
29,86,1
29,87,1
30,88,1
30,89,1
30,90,1
31,91,1
31,92,1
31,93,1
32,94,1
32,95,1
32,96,1
33,97,1
33,98,1
33,99,1
34,100,1
